"stimulus","type","trial","language","wordorder","animacy","stress","agreement","sentence"
1,"main",1,"ENG","NVN","AA","St0","Ag0",
1,"main",2,"ENG","NVN","AA","St0","Ag1",
1,"main",3,"ENG","NVN","AA","St0","Ag2",
1,"main",4,"ENG","NVN","AA","St1","Ag0",
1,"main",5,"ENG","NVN","AA","St1","Ag1",
1,"main",6,"ENG","NVN","AA","St1","Ag2",
1,"main",7,"ENG","NVN","AA","St2","Ag0",
1,"main",8,"ENG","NVN","AA","St2","Ag1",
1,"main",9,"ENG","NVN","AA","St2","Ag2",
1,"main",10,"ENG","NVN","AI","St0","Ag0",
1,"main",11,"ENG","NVN","AI","St0","Ag1",
1,"main",12,"ENG","NVN","AI","St0","Ag2",
1,"main",13,"ENG","NVN","AI","St1","Ag0",
1,"main",14,"ENG","NVN","AI","St1","Ag1",
1,"main",15,"ENG","NVN","AI","St1","Ag2",
1,"main",16,"ENG","NVN","AI","St2","Ag0",
1,"main",17,"ENG","NVN","AI","St2","Ag1",
1,"main",18,"ENG","NVN","AI","St2","Ag2",
1,"main",19,"ENG","NVN","IA","St0","Ag0",
1,"main",20,"ENG","NVN","IA","St0","Ag1",
1,"main",21,"ENG","NVN","IA","St0","Ag2",
1,"main",22,"ENG","NVN","IA","St1","Ag0",
1,"main",23,"ENG","NVN","IA","St1","Ag1",
1,"main",24,"ENG","NVN","IA","St1","Ag2",
1,"main",25,"ENG","NVN","IA","St2","Ag0",
1,"main",26,"ENG","NVN","IA","St2","Ag1",
1,"main",27,"ENG","NVN","IA","St2","Ag2",
1,"main",28,"ENG","VNN","AA","St0","Ag0",
1,"main",29,"ENG","VNN","AA","St0","Ag1",
1,"main",30,"ENG","VNN","AA","St0","Ag2",
1,"main",31,"ENG","VNN","AA","St1","Ag0",
1,"main",32,"ENG","VNN","AA","St1","Ag1",
1,"main",33,"ENG","VNN","AA","St1","Ag2",
1,"main",34,"ENG","VNN","AA","St2","Ag0",
1,"main",35,"ENG","VNN","AA","St2","Ag1",
1,"main",36,"ENG","VNN","AA","St2","Ag2",
1,"main",37,"ENG","VNN","AI","St0","Ag0",
1,"main",38,"ENG","VNN","AI","St0","Ag1",
1,"main",39,"ENG","VNN","AI","St0","Ag2",
1,"main",40,"ENG","VNN","AI","St1","Ag0",
1,"main",41,"ENG","VNN","AI","St1","Ag1",
1,"main",42,"ENG","VNN","AI","St1","Ag2",
1,"main",43,"ENG","VNN","AI","St2","Ag0",
1,"main",44,"ENG","VNN","AI","St2","Ag1",
1,"main",45,"ENG","VNN","AI","St2","Ag2",
1,"main",46,"ENG","VNN","IA","St0","Ag0",
1,"main",47,"ENG","VNN","IA","St0","Ag1",
1,"main",48,"ENG","VNN","IA","St0","Ag2",
1,"main",49,"ENG","VNN","IA","St1","Ag0",
1,"main",50,"ENG","VNN","IA","St1","Ag1",
1,"main",51,"ENG","VNN","IA","St1","Ag2",
1,"main",52,"ENG","VNN","IA","St2","Ag0",
1,"main",53,"ENG","VNN","IA","St2","Ag1",
1,"main",54,"ENG","VNN","IA","St2","Ag2",
1,"main",55,"ENG","NNV","AA","St0","Ag0",
1,"main",56,"ENG","NNV","AA","St0","Ag1",
1,"main",57,"ENG","NNV","AA","St0","Ag2",
1,"main",58,"ENG","NNV","AA","St1","Ag0",
1,"main",59,"ENG","NNV","AA","St1","Ag1",
1,"main",60,"ENG","NNV","AA","St1","Ag2",
1,"main",61,"ENG","NNV","AA","St2","Ag0",
1,"main",62,"ENG","NNV","AA","St2","Ag1",
1,"main",63,"ENG","NNV","AA","St2","Ag2",
1,"main",64,"ENG","NNV","AI","St0","Ag0",
1,"main",65,"ENG","NNV","AI","St0","Ag1",
1,"main",66,"ENG","NNV","AI","St0","Ag2",
1,"main",67,"ENG","NNV","AI","St1","Ag0",
1,"main",68,"ENG","NNV","AI","St1","Ag1",
1,"main",69,"ENG","NNV","AI","St1","Ag2",
1,"main",70,"ENG","NNV","AI","St2","Ag0",
1,"main",71,"ENG","NNV","AI","St2","Ag1",
1,"main",72,"ENG","NNV","AI","St2","Ag2",
1,"main",73,"ENG","NNV","IA","St0","Ag0",
1,"main",74,"ENG","NNV","IA","St0","Ag1",
1,"main",75,"ENG","NNV","IA","St0","Ag2",
1,"main",76,"ENG","NNV","IA","St1","Ag0",
1,"main",77,"ENG","NNV","IA","St1","Ag1",
1,"main",78,"ENG","NNV","IA","St1","Ag2",
1,"main",79,"ENG","NNV","IA","St2","Ag0",
1,"main",80,"ENG","NNV","IA","St2","Ag1",
1,"main",81,"ENG","NNV","IA","St2","Ag2",
